Publication_date,Source,Scraped_category,Title,Summary,Article_Url
2024-08-31,BBC,news,China and Philippines trade blame as ships collide,The crash is the latest incident in an escalating row over key zones in the South China Sea.,https://www.bbc.com/news/articles/cx2erwedxz5o
2024-08-31,BBC,news,Typhoon Shanshan causes widespread Japan disruption,Trains and flights are cancelled as one of the strongest typhoons in decades drenches cities in its path.,https://www.bbc.com/news/articles/c62rl70jge3o
2024-08-30,BBC,news,The Indian rapper who overtook Kendrick Lamar on music charts,"With his song Big Dawgs, Hanumankind has fast become a name to reckon with in the global hip-hop scene.",https://www.bbc.com/news/articles/cx2ljxj3wrxo
2024-08-30,BBC,news,Search for woman swallowed by 8m sinkhole now 'too risky',More than 100 rescuers have worked eight days non-stop in search of the missing tourist.,https://www.bbc.com/news/articles/ced1zzvn0j1o
2024-08-30,BBC,news,"Nearly 40,000 people died home alone in Japan this year, report says","Of those 37,227 Japanese people who died alone in their homes in the first half of the year, some 3,939 went unnoticed for over a month.",https://www.bbc.com/news/articles/cwyx6wwp5d5o
2024-08-30,BBC,news,Homes bulldozed in Timor-Leste ahead of Pope visit,Government says thousands are living illegally in area where the pontiff will celebrate mass.,https://www.bbc.com/news/articles/cvgr31dzky2o
2024-08-30,BBC,clip news,Planes abort landings as Typhoon Shanshan batters Japan,"The country has been hit by one of its strongest typhoons in decades, with authorities issuing highest alert.",https://www.bbc.com/news/videos/clyn88zvl04o
2024-08-30,BBC,news,Sabina Shoal: The new flashpoint between China and the Philippines,Both countries blame each other for repeated boat collisions near the shoal in recent days.,https://www.bbc.com/news/articles/cp3d4rz922do
2024-08-30,BBC,news,Man jailed for plot to put wife on death row with weed,"The man hid cannabis in his wife's car in an attempt to frame her in the ""perfect crime"".",https://www.bbc.com/news/articles/cj9l8zx2wn4o
2024-08-30,BBC,news,Workers trapped for days in Thai tunnel found dead,Rescue efforts to save the three men who were trapped in a tunnel had been going on since Saturday.,https://www.bbc.com/news/articles/cn49gwexqy1o
2024-08-30,BBC,news,Waiting 32 years for justice in an Indian rape case,"In 1992, powerful men in Ajmer city raped young girls and used photos and videos of the act to blackmail them.",https://www.bbc.com/news/articles/cr40dzlezp7o
2024-08-29,BBC,clip news,Watch as Typhoon Shanshan wreaks havoc in Japan,Japan has been hit by one of its strongest typhoons in decades,https://www.bbc.com/news/videos/c2l1r0v584xo
2024-08-29,BBC,news,Millions told to evacuate as typhoon batters Japan,At least four people have died after the country was hit by one of its strongest typhoons in decades.,https://www.bbc.com/news/articles/ckg2vk1z2ggo
2024-08-29,BBC,news,HK journalists found guilty in landmark sedition case,This is the first sedition case against journalists in Hong Kong since the territory's handover in 1997.,https://www.bbc.com/news/articles/c4gq75qwve8o
2024-08-29,BBC,news,India approves $8.5bn Reliance-Disney entertainment mega-merger,"The venture will form India's biggest entertainment player, competing with Sony, Netflix, and Amazon.",https://www.bbc.com/news/articles/c7v5j5dern7o
2024-08-29,BBC,news,Spanish actor's son jailed for gruesome murder,Daniel Sancho claimed he acted in self-defence when he killed plastic surgeon Edwin Arrieta in Thailand.,https://www.bbc.com/news/articles/cwyxry3k9rgo
2024-08-29,BBC,news,MMA in Afghanistan? Too violent for the Taliban,Officials say mixed martials arts poses a risk of death and is incompatible with Islamic law.,https://www.bbc.com/news/articles/c0qe4jk32xeo
2024-08-29,BBC,news,Anger after strangers lock toddler in plane toilet,"The airline said that the girl's grandmother had given the two women permission to ""educate her"".",https://www.bbc.com/news/articles/cm2nj5l0gego
2024-08-29,BBC,news,Floods in Indian state kill 28 and displace thousands,Several rivers and reservoirs are overflowing as water levels have crossed the danger mark.,https://www.bbc.com/news/articles/c3rd1gnl099o
2024-08-29,BBC,news,K-pop singer leaves boy band over sexual crime accusation,"SM Entertainment said that Moon Tae-il, who is known as Taeil, is fully cooperating with the police investigation.",https://www.bbc.com/news/articles/crlree49382o
2024-08-29,BBC,news,Sex abuse allegations rock Indian film industry,Dozens of women have publicly spoken about facing sexual assault and harassment in Kerala's film industry.,https://www.bbc.com/news/articles/ckgjlyl3n5xo
2024-08-28,BBC,news,Why badminton has become code for teen sex in Hong Kong,"The education bureau suggests teens who want to have sex could ""go out to play badminton together"" instead.",https://www.bbc.com/news/articles/c4glreq44y1o
2024-08-28,BBC,news,South Korea faces deepfake porn 'emergency',The president has addressed the growing epidemic after Telegram users were found exchanging doctored photos of underage girls.,https://www.bbc.com/news/articles/cg4yerrg451o
2024-08-27,BBC,news,Tear gas fired at protesters angry at Indian doctor's murder,Kolkata police use tear gas to disperse thousands protesting the rape and murder of a trainee doctor.,https://www.bbc.com/news/articles/cyvpgd6rlqyo
2024-08-27,BBC,news,Japan says Chinese spy plane violated its airspace,The breach would be the first known instance of such a direct violation.,https://www.bbc.com/news/articles/cr40dpz1rkwo
2024-08-26,BBC,news,Nostalgic Indians flock to cinemas to watch old hits,"Dozens of Indian films, some made more than 20 years ago, are being released again in cinemas - why?",https://www.bbc.com/news/articles/c5y89r85yg2o
2024-08-26,BBC,news,Pakistan drops Southport attack disinformation case,Police say they cannot find evidence that Farhan Asif was the originator of the fake news.,https://www.bbc.com/news/articles/c4gv48r6pk4o
2024-08-26,BBC,news,At least 22 killed after having IDs checked in Pakistan,"The attack happened in Balochistan province, where security forces are battling sectarian violence.",https://www.bbc.com/news/articles/c3w671eng9go
2024-08-26,BBC,news,Lonely dolphin looking for mate blamed for attacks,Japan's Fukui prefecture has seen a rise in dolphin attacks for the third straight year.,https://www.bbc.com/news/articles/cpw8kdrev50o
2024-08-26,BBC,news,China's most decorated swimmer back after drugs ban,"Sun Yang had been vilified as a drugs cheat, but his return was praised across state media.",https://www.bbc.com/news/articles/cwy4pgq1jv8o
2024-08-26,BBC,news,Standoff as police close in on 'Son of God' pastor,Apollo Quiboloy is wanted by Manila and the FBI for child sex trafficking and other crimes.,https://www.bbc.com/news/articles/cv2g7n1ypwlo
2024-08-26,BBC,news,The Indian archer without arms shooting for a gold,"Sheetal Devi, 17, is the world's only active female archer who competes without arms.",https://www.bbc.com/news/articles/cx2gpgppg57o
2024-08-25,BBC,news,Paper talk inspires disabled duo to walk the walk,Two disabled ex-servicemen are set to take on one of the world's toughest climbing challenges.,https://www.bbc.com/news/articles/cx2xnejpy0do
