Publication_date,Source,Scraped_category,Title,Summary,news_raw,Article_Url
09-09-2024,BBC,Rugby U,'My mouth is watering' - Black Ferns wing Tui on England challengeAttributionRugby UnionPosted2 days ago2d,'My mouth is watering' - Black Ferns wing Tui on England challengeAttributionRugby UnionPosted2 days ago2d,'My mouth is watering' - Black Ferns wing Tui on England challengeAttributionRugby UnionPosted2 days ago2d,https://www.bbc.com/sport/rugby-union/articles/ce80kk1j3xpo
09-09-2024,BBC,Rugby U,Springboks captain Kolisi rejoins Sharks from Racing 92AttributionRugby UnionPosted2 days ago2d,Springboks captain Kolisi rejoins Sharks from Racing 92AttributionRugby UnionPosted2 days ago2d,Springboks captain Kolisi rejoins Sharks from Racing 92AttributionRugby UnionPosted2 days ago2d,https://www.bbc.com/sport/rugby-union/articles/c9qgzv2er28o
09-09-2024,BBC,Rugby U,Saracens sign Wales international JohnAttributionSaracensPosted2 days ago2d,Saracens sign Wales international JohnAttributionSaracensPosted2 days ago2d,Saracens sign Wales international JohnAttributionSaracensPosted2 days ago2d,https://www.bbc.com/sport/rugby-union/articles/cx2x35ly988o
10-09-2024,BBC,Rugby U,Saints captaincy gives Furbank 'extra motivation'AttributionN'hamptonPosted1 day ago1d,Saints captaincy gives Furbank 'extra motivation'AttributionN'hamptonPosted1 day ago1d,Saints captaincy gives Furbank 'extra motivation'AttributionN'hamptonPosted1 day ago1d,https://www.bbc.com/sport/rugby-union/articles/c0qexgw9jgpo
08-09-2024,BBC,Rugby U,Argentina condemn Australia to biggest Test defeatAttributionRugby UnionPosted3 days ago3dComments372,Argentina condemn Australia to biggest Test defeatAttributionRugby UnionPosted3 days ago3dComments372,Argentina condemn Australia to biggest Test defeatAttributionRugby UnionPosted3 days ago3dComments372,https://www.bbc.com/sport/rugby-union/articles/cpw8lk9djd7o
11-09-2024,BBC,Tennis,Draper left out of GB team for Davis Cup openerAttributionTennisPosted2 hours ago2h,Draper left out of GB team for Davis Cup openerAttributionTennisPosted2 hours ago2h,Draper left out of GB team for Davis Cup openerAttributionTennisPosted2 hours ago2h,https://www.bbc.com/sport/tennis/articles/c20rq56nnr9o
10-09-2024,BBC,Tennis,Will cloud hang over Sinner's US Open victory?AttributionTennisPosted1 day ago1d,Will cloud hang over Sinner's US Open victory?AttributionTennisPosted1 day ago1d,Will cloud hang over Sinner's US Open victory?AttributionTennisPosted1 day ago1d,https://www.bbc.com/sport/tennis/articles/clyl02pwvj8o
09-09-2024,BBC,Tennis,Relaxed Murray surprised he does not miss playingAttributionTennisPosted2 days ago2d,Relaxed Murray surprised he does not miss playingAttributionTennisPosted2 days ago2d,Relaxed Murray surprised he does not miss playingAttributionTennisPosted2 days ago2d,https://www.bbc.com/sport/tennis/articles/c935z101lq9o
10-09-2024,BBC,Tennis,Watch GB in Davis Cup action on BBCAttributionTennisPosted1 day ago1d,Watch GB in Davis Cup action on BBCAttributionTennisPosted1 day ago1d,Watch GB in Davis Cup action on BBCAttributionTennisPosted1 day ago1d,https://www.bbc.com/sport/tennis/articles/cdrle8zymy5o
09-09-2024,BBC,Tennis,Sinner savours US Open win after 'difficult' build-upAttributionTennisPosted2 days ago2d,Sinner savours US Open win after 'difficult' build-upAttributionTennisPosted2 days ago2d,Sinner savours US Open win after 'difficult' build-upAttributionTennisPosted2 days ago2d,https://www.bbc.com/sport/tennis/articles/cvg5dpm1yy5o
